Dev1/ai1_Time/s,Dev1/ai1
1.07999325,0.001111032
1.089993188,0.004328342
1.099993125,0.007545653
1.109993063,0.004328342
1.119993,0.004328342
1.129992938,0.013980274
1.139992875,0.004328342
1.149992813,0.007545653
1.15999275,0.007545653
1.169992688,0.004328342
1.179992625,0.010762963
1.189992563,0.007545653
1.1999925,0.010762963
1.209992438,0.004328342
1.219992375,0.007545653
1.229992313,0.004328342
1.23999225,0.007545653
1.249992188,0.004328342
1.259992125,0.010762963
1.269992063,0.001111032
1.279992,0.004328342
1.289991938,0.007545653
1.299991875,0.004328342
1.309991813,0.007545653
1.31999175,0.010762963
1.329991688,0.004328342
1.339991625,0.004328342
1.349991563,0.010762963
1.3599915,0.004328342
1.369991438,0.004328342
1.379991375,0.004328342
1.389991313,0.004328342
1.39999125,0.001111032
1.409991188,0.004328342
1.419991125,-0.002106279
1.429991062,0.004328342
1.439991,0.004328342
1.449990937,0.007545653
1.459990875,0.001111032
1.469990812,0.001111032
1.47999075,0.007545653
1.489990687,0.004328342
1.499990625,0.004328342
1.509990562,0.004328342
1.5199905,0.010762963
1.529990437,-0.002106279
1.539990375,0.004328342
1.549990312,0.007545653
1.55999025,0.001111032
1.569990187,0.001111032
1.579990125,0.001111032
1.589990062,0.004328342
1.59999,0.010762963
1.609989937,0.004328342
1.619989875,0.007545653
1.629989812,0.004328342
1.63998975,0.010762963
1.649989687,0.001111032
1.659989625,0.004328342
1.669989562,0.010762963
1.6799895,0.007545653
1.689989437,0.001111032
1.699989375,0.007545653
1.709989312,0.007545653
1.71998925,0.010762963
1.729989187,0.010762963
1.739989125,0.001111032
1.749989062,0.007545653
1.759989,0.004328342
1.769988937,0.004328342
1.779988875,0.010762963
1.789988812,0.010762963
1.79998875,0.001111032
1.809988687,0.007545653
1.819988625,0.004328342
1.829988562,0.010762963
1.8399885,0.007545653
1.849988437,0.004328342
1.859988375,0.007545653
1.869988312,0.007545653
1.87998825,0.004328342
1.889988187,0.004328342
1.899988125,0.004328342
1.909988062,0.004328342
1.919988,0.007545653
1.929987937,0.004328342
1.939987875,0.004328342
1.949987812,0.010762963
1.95998775,0.004328342
1.969987687,0.007545653
1.979987625,0.007545653
1.989987562,0.001111032
1.9999875,0.001111032
2.009987437,0.007545653
2.019987375,0.004328342
2.029987312,0.007545653
2.03998725,0.004328342
2.049987187,0.004328342
2.059987125,0.004328342
2.069987062,0.007545653
2.079987,0.007545653
2.089986937,0.007545653
2.099986875,0.010762963
2.109986812,0.001111032
2.11998675,0.004328342
2.129986687,0.010762963
2.139986625,0.001111032
2.149986562,0.007545653
2.1599865,0.004328342
2.169986437,0.004328342
2.179986375,0.010762963
2.189986312,0.004328342
2.19998625,0.007545653
2.209986187,0.004328342
2.219986125,0.004328342
2.229986062,0.007545653
2.239986,0.004328342
2.249985937,0.004328342
2.259985875,0.007545653
2.269985812,0.004328342
2.27998575,0.004328342
2.289985687,0.001111032
2.299985625,0.004328342
2.309985562,0.004328342
2.3199855,0.007545653
2.329985437,0.001111032
2.339985375,0.007545653
2.349985312,0.001111032
2.35998525,0.010762963
2.369985187,0.007545653
2.379985125,0.007545653
2.389985062,0.001111032
2.399985,0.004328342
2.409984937,0.010762963
2.419984875,0.007545653
2.429984812,-0.002106279
2.43998475,0.007545653
2.449984687,0.007545653
2.459984625,0.004328342
2.469984562,0.007545653
2.4799845,0.001111032
2.489984437,0.007545653
2.499984375,0.010762963
2.509984312,0.004328342
2.51998425,0.004328342
2.529984187,0.004328342
2.539984125,0.013980274
2.549984062,0.007545653
2.559984,0.004328342
2.569983937,0.004328342
2.579983875,-0.002106279
2.589983812,0.001111032
2.59998375,0.004328342
2.609983687,0.007545653
2.619983625,0.001111032
2.629983562,0.010762963
2.6399835,0.004328342
2.649983437,0.004328342
2.659983375,0.004328342
2.669983312,0.010762963
2.67998325,0.007545653
2.689983187,0.004328342
2.699983125,0.004328342
2.709983062,0.001111032
2.719983,0.004328342
2.729982937,0.007545653
2.739982875,0.007545653
2.749982812,0.004328342
2.75998275,0.007545653
2.769982687,0.010762963
2.779982625,0.001111032
2.789982562,0.007545653
2.7999825,0.004328342
2.809982437,0.004328342
2.819982375,0.007545653
2.829982312,0.001111032
2.83998225,0.004328342
2.849982187,0.004328342
2.859982125,0.007545653
2.869982062,0.001111032
2.879982,0.001111032
2.889981937,0.004328342
2.899981875,0.007545653
2.909981812,0.013980274
2.91998175,0.004328342
2.929981687,0.010762963
2.939981625,0.007545653
2.949981562,0.007545653
2.9599815,0.004328342
2.969981437,0.004328342
2.979981375,0.001111032
2.989981312,0.001111032
2.99998125,0.001111032
3.009981187,0.007545653
3.019981125,0.007545653
3.029981062,0.004328342
3.039981,0.013980274
3.049980937,0.004328342
3.059980875,0.010762963
3.069980812,0.001111032
3.07998075,0.004328342
3.089980687,0.010762963
3.099980625,4.862467328
3.109980562,7.78056803
3.1199805,3.83292794
3.129980437,1.831760755
3.139980375,1.371685341
3.149980312,0.937348412
3.15998025,0.831177163
3.169980187,0.792569436
3.179980125,0.737875156
3.189980062,0.853698337
3.19998,0.737875156
3.209979937,0.64779046
3.219979875,0.799004057
3.229979812,0.741092467
3.23997975,0.625269285
3.249979687,0.856915648
3.259979625,0.741092467
3.269979562,0.654225081
3.2799795,0.679963565
3.289979437,0.715353982
3.299979375,0.725005914
3.309979312,0.654225081
3.31997925,0.696050118
3.329979187,0.737875156
3.339979125,0.615617354
3.349979062,0.786134815
3.359979,0.708919361
3.369978937,0.577009627
3.379978875,0.805438678
3.389978812,0.692832808
3.39997875,0.64779046
3.409978687,0.686398187
3.419978625,0.673528944
3.429978562,0.699267429
3.4399785,0.625269285
3.449978437,0.734657845
3.459978375,0.708919361
3.469978312,0.573792316
3.47997825,0.789352125
3.489978187,0.686398187
3.499978125,0.609182732
3.509978062,0.718571292
3.519978,0.667094323
3.529977937,0.686398187
3.539977875,0.628486596
3.549977812,0.731440535
3.55997775,0.692832808
3.569977687,0.554488453
3.579977625,0.789352125
3.589977562,0.670311634
3.5999775,0.638138528
3.609977437,0.670311634
3.619977375,0.667094323
3.629977312,0.70570205
3.63997725,0.589878869
3.649977187,0.763613641
3.659977125,0.686398187
3.669977062,0.551271142
3.679977,0.670311634
3.689976937,0.663877012
3.699976875,0.689615497
3.709976812,0.605965422
3.71997675,0.70570205
3.729976687,0.670311634
3.739976625,0.548053831
3.749976562,0.811873299
3.7599765,0.689615497
3.769976437,0.638138528
3.779976375,0.589878869
3.789976312,0.712136671
3.79997625,0.65100777
3.809976187,0.580226937
3.819976125,0.64779046
