"LineNo","DateTime","Hour","Channel","ThresholdA","CutoffA","CbMs","ArrivalDelayMs","Dev","N","FsHz","ImaxA"
"1325","2025/12/28 4:29:34","2025-12-28 04:00","3","10","8.37","31.94","-0.05","1","20","1000","10.287"
"1349","2025/12/28 4:31:34","2025-12-28 04:00","3","10","8.124","31.67","0.83","1","20","1000","9.869"
"1383","2025/12/28 4:34:33","2025-12-28 04:00","1","10","8.181","31.95","0.24","1","20","1000","10.162"
"1397","2025/12/28 4:35:34","2025-12-28 04:00","3","10","8.191","31.94","0.77","1","20","1000","10.371"
"1403","2025/12/28 4:36:03","2025-12-28 04:00","3","10","8.098","31.89","0.67","1","20","1000","10.348"
"1414","2025/12/28 4:37:03","2025-12-28 04:00","5","10","8.498","31.93","0.66","1","20","1000","9.61"
"1439","2025/12/28 4:39:04","2025-12-28 04:00","3","10","8.341","31.9","0.48","1","20","1000","10.802"
"1451","2025/12/28 4:40:03","2025-12-28 04:00","3","10","8.337","31.06","0.37","1","20","1000","9.923"
"1461","2025/12/28 4:41:03","2025-12-28 04:00","1","10","8.264","32.06","0.79","1","20","1000","9.608"
"1474","2025/12/28 4:42:03","2025-12-28 04:00","5","10","8.555","31.98","0.76","1","20","1000","9.279"
"1492","2025/12/28 4:43:33","2025-12-28 04:00","5","10","8.549","31.96","0.24","1","20","1000","11.077"
"1510","2025/12/28 4:45:03","2025-12-28 04:00","5","10","8.543","31.85","0.19","1","20","1000","10.53"
"1527","2025/12/28 4:46:33","2025-12-28 04:00","1","10","8.4","31.96","0.67","1","20","1000","10.631"
"1540","2025/12/28 4:47:33","2025-12-28 04:00","5","10","8.468","31.91","0.77","1","20","1000","9.739"
"1552","2025/12/28 4:48:33","2025-12-28 04:00","5","10","8.441","31.91","0.72","1","20","1000","10.591"
"1575","2025/12/28 4:50:33","2025-12-28 04:00","1","10","8.555","31.91","0.17","1","20","1000","10.11"
"1581","2025/12/28 4:51:03","2025-12-28 04:00","1","10","8.13","31.92","0.22","1","20","1000","9.943"
"1589","2025/12/28 4:51:34","2025-12-28 04:00","3","10","8.32","31.88","0.24","1","20","1000","9.811"
"1593","2025/12/28 4:52:03","2025-12-28 04:00","1","10","8.577","31.92","0.47","1","20","1000","11.6"
"1623","2025/12/28 4:54:33","2025-12-28 04:00","1","10","8.536","31.95","0.23","1","20","1000","10.02"
"1635","2025/12/28 4:55:33","2025-12-28 04:00","1","10","8.256","31.25","0.76","1","20","1000","9.399"
"1648","2025/12/28 4:56:33","2025-12-28 04:00","5","10","8.548","31.95","0.79","1","20","1000","10.669"
"1649","2025/12/28 4:56:34","2025-12-28 04:00","3","10","8.361","31.92","0.2","1","20","1000","10.239"
"1677","2025/12/28 4:59:03","2025-12-28 04:00","1","10","8.462","31.94","0.57","1","20","1000","10.2"
"1678","2025/12/28 4:59:03","2025-12-28 04:00","5","10","8.747","31.91","0.34","1","20","1000","10.752"
"1696","2025/12/28 5:00:33","2025-12-28 05:00","5","10","8.451","31.94","0.05","1","20","1000","10.022"
"1713","2025/12/28 5:02:03","2025-12-28 05:00","1","10","8.214","31.89","0.06","1","20","1000","10.763"
"1720","2025/12/28 5:02:33","2025-12-28 05:00","5","10","8.567","31.9","0.3","1","20","1000","9.816"
"1732","2025/12/28 5:03:33","2025-12-28 05:00","5","10","8.523","31.93","0.58","1","20","1000","9.732"
"1750","2025/12/28 5:05:03","2025-12-28 05:00","5","10","8.527","31.94","0.68","1","20","1000","9.829"
"1762","2025/12/28 5:06:03","2025-12-28 05:00","5","10","8.597","31.89","0.43","1","20","1000","10.739"
"1769","2025/12/28 5:06:34","2025-12-28 05:00","3","10","8.129","31.95","0.56","1","20","1000","10.261"
"1791","2025/12/28 5:08:33","2025-12-28 05:00","1","10","8.419","31.91","0.94","1","20","1000","10.606"
"1798","2025/12/28 5:09:03","2025-12-28 05:00","5","10","8.542","31.9","0.06","1","20","1000","10.768"
